Character,Attack,Combo Rate,Total Occurrences
Mewtwo,Dair,0.007263922518159807,413
Falco,Fair,0.0071683030671648275,23018
Popo,Down Smash,0.007112375533428165,22496
Pikachu,Forward Throw,0.007017543859649123,570
Fox,Taunt/Item Throw,0.0068846815834767644,581
Yoshi,Bair,0.006827603023652768,8202
Mewtwo,Up Smash,0.006737247353224254,1039
Mario,Neutral Special,0.006688963210702341,2691
Marth,Up Tilt,0.006597440391547339,60478
Sheik,Fair,0.006491075911809011,109535
Jigglypuff,Up Smash,0.006361044088615924,4559
Link,Taunt/Item Throw,0.006303637882585251,13167
Ganondorf,Jab 1,0.006185431335131934,15197
Pichu,Dair,0.006134969325153374,163
Marth,Dair,0.006068256815715456,45153
Popo,Fair,0.006025824964131995,6970
Luigi,Neutral Special,0.0060082613593691325,2663
Luigi,Jab 2,0.006001500375093774,2666
Popo,Dair,0.005997001499250375,9338
Popo,Grab,0.005916159567275186,5916
Popo,Bair,0.005861664712778429,15354
DonkeyKong,Nair,0.005861664712778429,853
Ness,Jab 1,0.005860805860805861,1365
Samus,Up Smash,0.005797101449275362,345
Fox,Dair,0.005764653821774126,167226
YoungLink,Side Smash,0.005681818181818182,176
Roy,Forward Throw,0.005672149744753261,1763
Pikachu,Nair,0.005654376251619743,25467
Fox,Bair,0.005646666152294244,349941
Link,Nair,0.005579431501168665,13263
Mario,Nair,0.005516549648946841,3988
Luigi,Down Special,0.005457251529684141,6047
Yoshi,Down Special,0.005412719891745603,739
Jigglypuff,Nair,0.005378858746492049,29932
CaptainFalcon,Nair,0.005349079541507468,86370
Marth,Dash Attack,0.005280876625519836,15149
Bowser,Up Smash,0.005235602094240838,191
Jigglypuff,Jab 2,0.005235602094240838,191
Roy,Up Tilt,0.005235602094240838,191
Jigglypuff,Dair,0.005217938914128919,22231
Ness,Fair,0.005193618082100715,24068
Falco,Taunt/Item Throw,0.005128205128205128,390
Yoshi,Dair,0.004892966360856269,1635
Mario,Up Special,0.004830917874396135,1656
Popo,Get Up Attack (From Front),0.004746835443037975,632
DonkeyKong,Neutral Special,0.004744958481613286,843
Sheik,Bair,0.004695756274768825,96896
Peach,Down Tilt,0.004677941705649514,2779
Falco,Bair,0.004660529545240002,286019
CaptainFalcon,Bair,0.004495916013464209,42483
Bowser,Up Special,0.004470938897168405,9394
Luigi,Uair,0.004452359750667854,5615
Peach,Nair,0.004415116403947352,83803
Roy,Neutral Special,0.004379562043795621,685
Falco,Dair,0.004352506457541833,365077
YoungLink,Get Up Attack (From Back),0.004291845493562232,233
DrMario,Up Special,0.004235176880916791,4014
Link,Jab 1,0.0042333019755409216,4252
GameAndWatch,Dair,0.004182509505703422,5260
Kirby,Dair,0.0041797283176593526,957
Pikachu,Down Tilt,0.0040719375636240245,2947
Popo,Forward Throw,0.003940658321743162,4314
DonkeyKong,Bair,0.003929944468175993,11705
Marth,Neutral Special,0.00377915015208775,10849
CaptainFalcon,Ledge Get Up Attack 100%+,0.0037735849056603774,265
YoungLink,Jab 1,0.0037735849056603774,795
Samus,Side Special,0.0036477628954117982,17545
Jigglypuff,Fair,0.0036105577689243026,88352
Yoshi,Nair,0.003542193135920862,46299
DonkeyKong,Dair,0.0035335689045936395,1415
Luigi,Bair,0.0034967692892436337,13155
Popo,Side Special,0.0034946706272933775,5723
Mewtwo,Uair,0.00348879911861917,5446
Marth,Down Tilt,0.003307081245099042,58662
Sheik,Nair,0.0032425278482408736,45335
Bowser,Down Special,0.003205128205128205,312
Pichu,Nair,0.003198976327575176,1563
Mewtwo,Bair,0.0031902552204176333,3448
Kirby,Down Throw,0.0031746031746031746,315
Pikachu,Neutral Special,0.003143006809848088,1909
Marth,Back Throw,0.0031191515907673115,4809
CaptainFalcon,Dair,0.0031089397880845124,47283
Samus,Taunt/Item Throw,0.0030015007503751876,1999
Popo,Back Throw,0.002966381015161503,3034
CaptainFalcon,Dash Attack,0.0029093931837073984,2406
Luigi,Dash Attack,0.0028653295128939827,349
CaptainFalcon,Jab 2,0.002818086225026288,23775
DrMario,Bair,0.0027090482210583348,11074
CaptainFalcon,Fair,0.0025202009860286357,63487
GameAndWatch,Dash Attack,0.002457002457002457,407
Jigglypuff,Neutral Special,0.002398081534772182,417
Popo,Down Special,0.002396644697423607,1669
Mario,Fair,0.0023828435266084196,1259
Yoshi,Up Special,0.0023548804898151417,8493
CaptainFalcon,Jab 3,0.0023479690068091102,17036
YoungLink,Nair,0.002255904124074727,14185
DrMario,Nair,0.0022131238242779684,9037
YoungLink,Up Special,0.0022087244616234127,1811
Yoshi,Jab 2,0.00219573400250941,3188
Pikachu,Bair,0.002166633838881229,5077
Mario,Up Throw,0.002150537634408602,930
Roy,Nair,0.002124645892351275,1412
Fox,Neutral Special,0.002072538860103627,13510
Sheik,Side Smash,0.002044989775051125,3423
Roy,Jab 1,0.0019646365422396855,509
Sheik,Ledge Get Up Attack,0.001953125,512
Samus,Up Tilt,0.0019394461803684947,9281
Ganondorf,Dair,0.0018975332068311196,10540
Roy,Up Special,0.0018726591760299626,1602
Ness,Dair,0.001869624828617724,8023
Luigi,Dair,0.0018526687251874724,11335
Samus,Neutral Special,0.0018260075648884831,7667
Falco,Get Up Attack (From Front),0.0018248175182481751,3288
CaptainFalcon,Up Tilt,0.0018248175182481751,548
CaptainFalcon,Neutral Special,0.0018214936247723133,1647
Marth,Nair,0.00181441531537967,69995
Samus,Nair,0.0018046353347598546,38789
DonkeyKong,Down Tilt,0.0017921146953405018,558
Link,Side Smash,0.0017655367231638418,2832
CaptainFalcon,Down Special,0.0017421602787456446,1148
Pichu,Bair,0.0017241379310344827,580
Peach,Neutral Special,0.001675603217158177,2984
Jigglypuff,Side Tilt,0.0016025641025641025,624
GameAndWatch,Forward Throw,0.0015552099533437014,643
Kirby,Bair,0.0015503875968992248,2580
Pikachu,Side Tilt,0.001544004117344313,1943
Kirby,Fair,0.0015337423312883436,1304
Jigglypuff,Bair,0.001513685203106777,120897
Fox,Back Throw,0.0014601382264187676,10273
Ness,Bair,0.0014464068209500609,13136
CaptainFalcon,Side Tilt,0.0014200511218403862,3521
Ganondorf,Neutral Special,0.0013850415512465374,722
Zelda,Bair,0.0013623978201634877,2936
Zelda,Fair,0.001352569882777277,2218
Marth,Bair,0.0013325384858154784,28517
Yoshi,Jab 1,0.00130718954248366,5355
Falco,Forward Throw,0.0013060951105157402,29860
Pikachu,Down Smash,0.0012781594503914362,6259
Samus,Dair,0.0012656771372684386,8691
Samus,Bair,0.0012483281319661168,11215
Marth,Ledge Get Up Attack,0.0012468827930174563,802
Zelda,Side Smash,0.0012307692307692308,1625
Marth,Up Special,0.001178334890902442,24611
Ganondorf,Uair,0.0011739208957919451,22148
Fox,Side Tilt,0.0011432926829268292,7872
CaptainFalcon,Get Up Attack (From Back),0.001141552511415525,2628
Falco,Side Tilt,0.0011291114383897888,20370
Samus,Up Special,0.001114976362501115,22422
Fox,Forward Throw,0.0010656247224935618,11261
Falco,Down Smash,0.0009830205540661305,22380
Mewtwo,Side Tilt,0.0009797517962116264,3062
Sheik,Get Up Attack (From Front),0.0009718172983479105,1029
Ness,Nair,0.0009535918626827717,6292
Samus,Dash Attack,0.0009506524933022211,11571
Mewtwo,Nair,0.0008349734597721715,16767
CaptainFalcon,Get Up Attack (From Front),0.0008278145695364238,1208
Luigi,Forward Throw,0.0008176614881439084,1223
GameAndWatch,Nair,0.0007671653241273494,5214
